Year,Round,RaceName,avg_air_temp,avg_track_temp,avg_humidity,avg_wind_speed,had_rain,rain_pct
2024,10,Spanish Grand Prix,24.132467532467533,41.096103896103905,63.44155844155844,2.1233766233766236,True,0.6493506493506493
2024,11,Austrian Grand Prix,29.42587412587413,46.420979020979026,35.00699300699301,1.667832167832168,True,0.6993006993006993
2024,12,British Grand Prix,15.77074829931973,27.670068027210885,67.33333333333333,1.3482993197278912,True,34.69387755102041
2024,13,Hungarian Grand Prix,28.82387096774194,44.91612903225806,46.92258064516129,1.2496774193548386,False,0.0
2024,14,Belgian Grand Prix,21.32846715328467,42.26715328467153,49.583941605839414,1.6832116788321163,False,0.0
2024,15,Dutch Grand Prix,19.00588235294118,30.80588235294118,60.96078431372549,4.568627450980392,False,0.0
2024,16,Italian Grand Prix,33.1015037593985,49.31127819548872,32.285714285714285,1.518796992481203,False,0.0
2024,17,Azerbaijan Grand Prix,26.70592105263158,44.34934210526316,38.01973684210526,1.5513157894736842,False,0.0
2024,18,Singapore Grand Prix,30.786250000000003,36.445625,74.65,0.955,False,0.0
2024,19,United States Grand Prix,28.12129032258064,46.60193548387097,35.535483870967745,1.5,False,0.0
2024,20,Mexico City Grand Prix,19.88867924528302,35.60251572327045,51.0503144654088,2.150943396226415,False,0.0
2024,21,São Paulo Grand Prix,21.662686567164172,25.769651741293536,85.2587064676617,0.735820895522388,True,58.2089552238806
2024,22,Las Vegas Grand Prix,17.825174825174823,17.723776223776223,47.86013986013986,2.8986013986013983,False,0.0
2024,23,Qatar Grand Prix,18.926490066225167,22.773509933774836,57.25165562913907,1.6576158940397352,False,0.0
2024,24,Abu Dhabi Grand Prix,26.76824324324324,31.80540540540541,51.445945945945944,1.9006756756756753,False,0.0
2025,1,Australian Grand Prix,15.707865168539326,18.94213483146067,78.42134831460675,3.475280898876404,True,32.58426966292135
2025,2,Chinese Grand Prix,27.21558441558442,35.81688311688312,18.233766233766232,2.188311688311688,False,0.0
2025,3,Japanese Grand Prix,14.429999999999998,20.514285714285716,76.37142857142857,1.202142857142857,False,0.0
2025,4,Bahrain Grand Prix,27.052531645569623,31.870253164556964,45.32911392405063,2.1056962025316457,False,0.0
2025,5,Saudi Arabian Grand Prix,29.4838028169014,37.819718309859155,62.725352112676056,1.0260563380281689,False,0.0
2025,6,Miami Grand Prix,26.573154362416112,38.69060402684564,63.02013422818792,1.046979865771812,True,3.3557046979865772
2025,7,Emilia Romagna Grand Prix,23.964666666666663,42.664,38.306666666666665,3.248,False,0.0
2025,8,Monaco Grand Prix,22.209375,43.317499999999995,52.51875,0.979375,False,0.0
2025,9,Spanish Grand Prix,29.12,48.54322580645161,54.6258064516129,1.6329032258064518,False,0.0
2025,10,Canadian Grand Prix,24.036526946107788,49.25329341317366,27.976047904191617,1.0377245508982034,True,0.5988023952095809
2025,11,Austrian Grand Prix,30.347826086956523,49.1664596273292,31.981366459627328,1.6180124223602483,False,0.0
